,College Name,GPA,Verbal,Quants,Writing
0,Virginia Tech,4.0,159.0,167.0,4.0
1,York University,2.7,150.0,161.0,3.5
2,Purdue University,3.5,156.0,169.0,3.5
3,"University Of Florida, Gainesville (UFL)",3.5,156.0,169.0,3.5
4,Rutgers University,3.5,156.0,169.0,3.5
5,American University,3.5,157.0,152.0,4.0
6,American University,3.9,162.0,155.0,4.5
7,"University Of Texas, Austin (UT Austin)",3.7,154.0,166.0,3.5
8,University Of West Georgia,3.49,143.0,143.0,3.5
9,University Of South Dakota,3.94,143.0,151.0,4.0
10,Columbia University,3.81,162.0,160.0,4.5
11,George Washington University (GWU),3.9,154.0,155.0,5.0
12,University Of Southern California (USC),3.3,147.0,161.0,3.5
13,"University Of Illinois, Urbana-Champaign (UIUC)",3.6,155.0,168.0,3.5
14,Appalachian State University,3.99,155.0,156.0,4.0
15,"University Of Texas, Dallas (UT Dallas)",3.91,157.0,169.0,5.5
16,University Of Bologna,2.7,149.0,164.0,3.0
17,Northeastern University,3.15,165.0,170.0,5.0
18,Eastern New Mexico University,3.8,156.0,146.0,4.0
19,CSUN,3.2,154.0,147.0,4.0
20,Eastern New Mexico University,3.54,157.0,146.0,4.5
21,Eastern New Mexico University,3.35,157.0,157.0,4.5
22,Rutgers University,3.7,155.0,165.0,4.5
23,Iowa State University (ISU),3.5,144.0,167.0,3.0
24,University Of Houston,3.3,150.0,162.0,3.5
25,Kansas State University,3.94,143.0,151.0,4.0
26,University Of Southern California (USC),3.5,144.0,167.0,3.0
27,"University Of Texas, Dallas (UT Dallas)",2.9,156.0,155.0,3.0
28,"University Of Illinois, Chicago (UIC)",3.7,152.0,162.0,4.5
29,"University Of Texas, Dallas (UT Dallas)",3.46,149.0,165.0,3.5
30,Southeastern University In Louisiana,3.85,148.0,152.0,4.0
31,University Of Southern California (USC),3.6,149.0,159.0,3.0
32,St. Johns University,3.83,149.0,150.0,4.0
33,Baylor University,3.74,154.0,162.0,4.5
34,St. Johns University,3.97,155.0,152.0,5.0
35,University Of Southern California (USC),3.9,156.0,167.0,3.5
36,Indiana University - Purdue University Indianapolis (IUPUI),3.1,155.0,164.0,3.5
37,"University Of Texas, Austin (UT Austin)",3.1,155.0,164.0,3.5
38,Winthrop University,3.69,155.0,141.0,4.5
39,"University Of Texas, Dallas (UT Dallas)",3.91,157.0,152.0,4.5
40,University Of Southern California (USC),4.0,142.0,158.0,3.0
41,Fordham University,3.7,162.0,162.0,4.0
42,Northeastern University,2.64,151.0,170.0,2.0
43,Northeastern University,2.64,170.0,151.0,2.0
44,"University Of Texas, Dallas (UT Dallas)",3.316,147.0,163.0,2.5
45,Santa Clara University,3.43,145.0,161.0,3.0
46,University Of The District Of Columbia,3.7,149.0,153.0,3.0
47,"University Of Michigan, Ann Arbor (UMich)",3.3,157.0,167.0,3.0
48,"University Of Texas, Arlington",4.0,157.0,169.0,4.5
49,Arizona State University (ASU),3.5,163.0,150.0,3.5
50,"University Of Texas, Dallas (UT Dallas)",3.5,151.0,161.0,4.5
51,"University Of Texas, Dallas (UT Dallas)",3.91,157.0,152.0,4.5
52,"University Of Illinois, Urbana-Champaign (UIUC)",3.68,165.0,170.0,4.5
53,Arizona State University (ASU),3.2,146.0,161.0,3.0
54,Iowa State University (ISU),3.5,144.0,167.0,3.0
55,Sen Diego State University California,4.0,143.0,161.0,2.3
56,TU Munich,3.0,144.0,165.0,3.0
57,"University Of Colorado, Boulder",3.3,150.0,170.0,4.0
58,University Of Rhode Island,3.0,159.0,154.0,3.5
59,"University Of Illinois, Chicago (UIC)",3.6,150.0,160.0,4.0
60,University Of Heidelberg,3.58,143.0,158.0,2.0
