,College Name,GPA,Verbal,Quants,Writing,Cluster
0,Aalto University,3.61,159.66666666666666,165.0,3.8333333333333335,0
1,Aberystwyth University,3.8,160.0,151.0,3.5,4
2,Abilene Christian University,3.26,158.66666666666666,149.0,4.833333333333333,4
3,Adelphi Univ.,3.51,147.0,150.0,4.5,1
4,Adelphi University,3.7520000000000007,152.42222222222222,149.2,4.3,1
5,Alabama A & M University,3.45,147.0,148.0,4.5,1
6,Alabama At Birmingham Uab,2.8,138.0,167.0,3.0,3
7,Albert-Ludwigs-Universitt Freiburg,3.71,160.0,150.0,4.0,4
8,Alfred University,3.175,154.0,158.5,3.25,4
9,Aligarh Muslim University,3.37,143.0,158.0,3.0,3
10,American Univ,3.98,160.0,161.0,4.0,0
11,American University,3.6081486486486476,161.2027027027027,156.29054054054055,4.631756756756757,2
12,American University Of Beirut,4.0,163.0,165.5,5.0,0
13,Andrews University,3.9,149.0,146.0,4.0,1
14,Antioch University New England,3.9,168.0,159.0,4.0,2
15,Appalachain State University,3.44,150.0,149.0,4.5,1
16,Appalachian State University,3.6965625,156.8125,151.5625,4.21875,4
17,Arcadia University,3.5250000000000004,154.5,161.0,5.0,3
18,Architectural Association,3.8,156.0,163.0,4.0,0
19,Arizona State University,3.2,157.0,158.0,3.0,4
20,Arizona State University (ASU),3.4464843749999985,155.9765625,159.7890625,3.7890625,4
21,Armstrong Atlantic State University,3.4499999999999997,150.14285714285714,152.71428571428572,4.214285714285714,1
22,Armstrong State University,3.6666666666666665,161.66666666666666,156.33333333333334,4.166666666666667,2
23,Auburn University,3.7075,160.0,153.91666666666666,4.375,4
24,Australian National University (ANU),3.6,155.0,147.0,4.5,1
25,Baldwin Wallace University,3.8,153.0,148.0,4.0,1
26,Ball State University,3.583846153846154,160.46153846153845,153.07692307692307,4.653846153846154,4
27,Bangladesh University Of Enginnering And Technology,3.42,158.0,166.0,3.5,0
28,"Barcelona GSE, UPF",3.1,151.5,161.0,3.5,3
29,Baylor University,3.741818181818181,160.36363636363637,157.45454545454547,4.363636363636363,2
30,Bentley University,3.3,160.5,156.5,5.0,2
31,Bloomsburg University,3.765,155.33333333333334,152.33333333333334,4.583333333333333,4
32,Bocconi University,3.9,157.0,165.0,3.5,0
33,Boise State University,3.4066666666666667,157.0,155.0,4.0,4
34,Boston Univ.,3.325,157.0,167.5,3.5,0
35,Boston University (BU),3.593289473684212,159.19736842105263,157.8859649122807,4.3355263157894735,4
36,Boston University Pardee School,3.6,164.0,161.0,4.5,0
37,Bowling Green State University,3.7309523809523806,156.0952380952381,151.8095238095238,4.404761904761905,4
38,Brandeis Univeristy (Heller School),3.84,157.0,157.0,4.0,4
39,Brandeis University,3.625263157894738,160.78947368421052,156.81578947368422,4.473684210526316,2
