,College Name,GPA,Verbal,Quants,Writing,Cluster,Tier
0,Aalto University,3.61,159.6666667,165,3.833333333,3,1
1,Aberystwyth University,3.8,160,151,3.5,1,4
2,Abilene Christian University,3.26,158.6666667,149,4.833333333,1,4
3,Adelphi Univ.,3.51,147,150,4.5,4,5
4,Adelphi University,3.752,152.4222222,149.2,4.3,4,5
5,Alabama A & M University,3.45,147,148,4.5,4,5
6,Alabama At Birmingham Uab,2.8,138,167,3,0,2
7,Albert-Ludwigs-Universitt Freiburg,3.71,160,150,4,1,4
8,Alfred University,3.175,154,158.5,3.25,1,4
9,Aligarh Muslim University,3.37,143,158,3,0,2
10,American Univ,3.98,160,161,4,3,1
11,American University,3.608148649,161.2027027,156.2905405,4.631756757,2,3
12,American University Of Beirut,4,163,165.5,5,3,1
13,Andrews University,3.9,149,146,4,4,5
14,Antioch University New England,3.9,168,159,4,2,3
15,Appalachain State University,3.44,150,149,4.5,4,5
16,Appalachian State University,3.6965625,156.8125,151.5625,4.21875,1,4
17,Arcadia University,3.525,154.5,161,5,0,2
18,Architectural Association,3.8,156,163,4,3,1
19,Arizona State University,3.2,157,158,3,1,4
20,Arizona State University (ASU),3.446484375,155.9765625,159.7890625,3.7890625,1,4
21,Armstrong Atlantic State University,3.45,150.1428571,152.7142857,4.214285714,4,5
22,Armstrong State University,3.666666667,161.6666667,156.3333333,4.166666667,2,3
23,Auburn University,3.7075,160,153.9166667,4.375,1,4
24,Australian National University (ANU),3.6,155,147,4.5,4,5
25,Baldwin Wallace University,3.8,153,148,4,4,5
26,Ball State University,3.583846154,160.4615385,153.0769231,4.653846154,1,4
27,Bangladesh University Of Enginnering And Technology,3.42,158,166,3.5,3,1
28,"Barcelona GSE, UPF",3.1,151.5,161,3.5,0,2
29,Baylor University,3.741818182,160.3636364,157.4545455,4.363636364,1,4
30,Bentley University,3.3,160.5,156.5,5,1,4
31,Bloomsburg University,3.765,155.3333333,152.3333333,4.583333333,1,4
32,Bocconi University,3.9,157,165,3.5,3,1
33,Boise State University,3.406666667,157,155,4,1,4
34,Boston Univ.,3.325,157,167.5,3.5,3,1
35,Boston University (BU),3.593289474,159.1973684,157.8859649,4.335526316,1,4
36,Boston University Pardee School,3.6,164,161,4.5,3,1
37,Bowling Green State University,3.730952381,156.0952381,151.8095238,4.404761905,1,4
38,Brandeis Univeristy (Heller School),3.84,157,157,4,1,4
39,Brandeis University,3.625263158,160.7894737,156.8157895,4.473684211,2,3
40,Brigham Young University,3.861666667,157.8333333,158,4.5,1,4
41,Brock University,3.79,156.6666667,154.6666667,4,1,4
42,Brown University,3.581754386,160.0701754,161.2280702,4.438596491,3,1
43,CSUN,3.45,158.5,152.25,4.125,1,4
44,CUNY,3.504444444,162,153.1111111,4.722222222,2,3
45,Cal Poly Pomona,3.54,145,148,4,4,5
46,"Cal State University, Los Angeles (CSULA)",3.4,152,158,5,0,2
47,"California Polytechnic State University, San Luis Obispo",3.5,158,140,3.5,4,5
48,"California Polytechnic University, Pomona",3.45,163,151,5,2,3
49,"California State Polytechnic University, Pomona",3.18,153,153,4.5,1,4
50,California State University (CSULA),3.77,151,154,4.5,4,5
51,California State University Dominguez Hills,3.72,156,152,4.5,1,4
52,California State University East Bay,3.9,156.5,150.5,4.5,1,4
53,California State University San Jose,3.2,160,152,3.5,1,4
54,California State University San Marcos,3.97,149,157,4.5,0,2
55,"California State University, Chico",3.7725,156.625,151.75,4.3125,1,4
56,"California State University, Dominguez Hills",3.72,150,151,4,4,5
57,"California State University, Fresno",3.956666667,148.3333333,148.3333333,3.833333333,4,5
